Job Position Name,Company Name,Pay,Experience,Rating,URL
Data Analyst - Subscription Management,Urjanet Energy Solutions,Not disclosed,0-3 Yrs,4,https://www.naukri.com/job-listings-data-analyst-subscription-management-urjanet-chennai-0-to-3-years-101122500208
Data Analyst - Customer Support and Services,Urjanet Energy Solutions,Not disclosed,0-2 Yrs,4,https://www.naukri.com/job-listings-data-analyst-customer-support-and-services-urjanet-chennai-0-to-2-years-071122502034
Data Analyst - Customer Support and Services,Arcadia,Not disclosed,0-4 Yrs,,https://www.naukri.com/job-listings-data-analyst-customer-support-and-services-arcadia-chennai-0-to-4-years-071122501230
Data Analyst,Photon Infotech P Ltd,Not disclosed,2-5 Yrs,4.3,https://www.naukri.com/job-listings-data-analyst-photon-infotech-p-ltd-chennai-2-to-5-years-010322500812
Senior Data Analyst - Tableau | Delta Air lines,Talent500,Not disclosed,4-9 Yrs,3.1,https://www.naukri.com/job-listings-senior-data-analyst-tableau-delta-air-lines-talent500-tech-india-private-limited-hyderabad-secunderabad-chennai-bangalore-bengaluru-4-to-9-years-251022003234
Senior Data Analyst - Power BI | Delta Air Lines,Talent500,Not disclosed,4-9 Yrs,3.1,https://www.naukri.com/job-listings-senior-data-analyst-power-bi-delta-air-lines-talent500-tech-india-private-limited-hyderabad-secunderabad-chennai-bangalore-bengaluru-4-to-9-years-251022003168
Senior Data Analyst - Nielsen | Pepsico,Talent500,Not disclosed,8-13 Yrs,3.1,https://www.naukri.com/job-listings-senior-data-analyst-nielsen-pepsico-talent500-tech-india-private-limited-hyderabad-secunderabad-chennai-bangalore-bengaluru-8-to-13-years-221022007498
Senior Data Analyst - Nielsen / IRI | Pepsico,Talent500,Not disclosed,7-12 Yrs,3.1,https://www.naukri.com/job-listings-senior-data-analyst-nielsen-iri-pepsico-talent500-tech-india-private-limited-hyderabad-secunderabad-chennai-bangalore-bengaluru-7-to-12-years-221022007455
Senior Data Analyst -Tableau Development | Pepsico,Talent500,Not disclosed,5-10 Yrs,3.1,https://www.naukri.com/job-listings-senior-data-analyst-tableau-development-pepsico-talent500-tech-india-private-limited-hyderabad-secunderabad-chennai-bangalore-bengaluru-5-to-10-years-211022008991
Senior Data Analyst | Pepsico,Talent500,Not disclosed,6-11 Yrs,3.1,https://www.naukri.com/job-listings-senior-data-analyst-pepsico-talent500-tech-india-private-limited-hyderabad-secunderabad-chennai-bangalore-bengaluru-6-to-11-years-211022005009
Associate Director - Data Science Lead,WNS Holdings,Not disclosed,10-20 Yrs,3.6,https://www.naukri.com/job-listings-associate-director-data-science-lead-wns-global-services-private-limited-pune-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-10-to-20-years-151122010463
Senior Data Scientist,3i Infotech,Not disclosed,3-6 Yrs,3.6,https://www.naukri.com/job-listings-senior-data-scientist-3i-infotech-limited-chennai-3-to-6-years-181122608798
Senior Data Scientist,3i Infotech,Not disclosed,3-6 Yrs,3.6,https://www.naukri.com/job-listings-senior-data-scientist-3i-infotech-limited-chennai-3-to-6-years-181122008796
Senior Data Scientist,Ganit Business Solutions,Not disclosed,5-8 Yrs,2.6,https://www.naukri.com/job-listings-senior-data-scientist-ganit-business-solutions-private-limited-chennai-bangalore-bengaluru-5-to-8-years-171122008960
Senior Data Scientist,Boston Consulting Group,Not disclosed,1-2 Yrs,4.1,https://www.naukri.com/job-listings-senior-data-scientist-boston-consulting-group-mumbai-delhi-chennai-1-to-2-years-190820500542
Senior Business Data Analyst,Anicalls,Not disclosed,5-10 Yrs,4.7,https://www.naukri.com/job-listings-senior-business-data-analyst-anicalls-chennai-5-to-10-years-260322501095
Data Analyst - Python/Artificial Intelligence,iMindYourBusiness,Not disclosed,0-2 Yrs,,https://www.naukri.com/job-listings-data-analyst-python-artificial-intelligence-imindyourbusiness-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-ahmedabad-delhi-ncr-bangalore-bengaluru-0-to-2-years-221022900680
Data Analyst,Shell Info Technologies Private Limited,"10,00,000 - 20,00,000 PA.",8-11 Yrs,,https://www.naukri.com/job-listings-data-analyst-shell-info-technologies-private-limited-noida-hyderabad-secunderabad-chennai-bangalore-bengaluru-8-to-11-years-201022013295
Data Analyst - Digital Ad Ops,Iopex Technologies,Not disclosed,4-9 Yrs,4.1,https://www.naukri.com/job-listings-data-analyst-digital-ad-ops-iopex-technologies-pvt-ltd-chennai-bangalore-bengaluru-4-to-9-years-171022500134
Data Analyst,3i Infotech,"7,00,000 - 17,00,000 PA.",3-6 Yrs,3.6,https://www.naukri.com/job-listings-data-analyst-3i-infotech-limited-chennai-3-to-6-years-121122600074
Data Analyst,3i Infotech,"7,00,000 - 17,00,000 PA.",3-6 Yrs,3.6,https://www.naukri.com/job-listings-data-analyst-3i-infotech-limited-chennai-3-to-6-years-121122000072
Data Analyst - Neilsen / IRI | Pepsico,Talent500,Not disclosed,5-10 Yrs,3.1,https://www.naukri.com/job-listings-data-analyst-neilsen-iri-pepsico-talent500-tech-india-private-limited-hyderabad-secunderabad-chennai-bangalore-bengaluru-5-to-10-years-021122010402
Data Analyst - Subscription Management,Urjanet Energy Solutions,Not disclosed,0-3 Yrs,4,https://www.naukri.com/job-listings-data-analyst-subscription-management-urjanet-chennai-0-to-3-years-300922500380
Associate Data Analyst/Data Analyst - Services,Urjanet Energy Solutions,Not disclosed,0-2 Yrs,4,https://www.naukri.com/job-listings-associate-data-analyst-data-analyst-services-urjanet-chennai-0-to-2-years-300922500379
Data Analysis Manager - Nielsen | Pepsico,Talent500,Not disclosed,7-12 Yrs,3.1,https://www.naukri.com/job-listings-data-analysis-manager-nielsen-pepsico-talent500-tech-india-private-limited-hyderabad-secunderabad-chennai-bangalore-bengaluru-7-to-12-years-221022007343
Data Analyst - Nielsen / IRI | Pepsico,Talent500,Not disclosed,4-9 Yrs,3.1,https://www.naukri.com/job-listings-data-analyst-nielsen-iri-pepsico-talent500-tech-india-private-limited-hyderabad-secunderabad-chennai-bangalore-bengaluru-4-to-9-years-221022007307
Data Analyst - Power Bi | Pepsico,Talent500,Not disclosed,5-10 Yrs,3.1,https://www.naukri.com/job-listings-data-analyst-power-bi-pepsico-talent500-tech-india-private-limited-hyderabad-secunderabad-chennai-bangalore-bengaluru-5-to-10-years-221022006859
Data Analyst - Power Bi | Pepsico,Talent500,Not disclosed,4-9 Yrs,3.1,https://www.naukri.com/job-listings-data-analyst-power-bi-pepsico-talent500-tech-india-private-limited-hyderabad-secunderabad-chennai-bangalore-bengaluru-4-to-9-years-221022006763
HR Data Analyst | Pepsico,Talent500,Not disclosed,3-6 Yrs,3.1,https://www.naukri.com/job-listings-hr-data-analyst-pepsico-talent500-tech-india-private-limited-hyderabad-secunderabad-chennai-bangalore-bengaluru-3-to-6-years-211022006047
Lead Data Analyst - CPG Reporting | Pepsico,Talent500,Not disclosed,7-12 Yrs,3.1,https://www.naukri.com/job-listings-lead-data-analyst-cpg-reporting-pepsico-talent500-tech-india-private-limited-hyderabad-secunderabad-chennai-bangalore-bengaluru-7-to-12-years-211022005096
Data Analyst - Power Bi | Pepsico,Talent500,Not disclosed,5-10 Yrs,3.1,https://www.naukri.com/job-listings-data-analyst-power-bi-pepsico-talent500-tech-india-private-limited-hyderabad-secunderabad-chennai-bangalore-bengaluru-5-to-10-years-211022004823
Data Analyst - Marketing | Pepsico,Talent500,Not disclosed,7-12 Yrs,3.1,https://www.naukri.com/job-listings-data-analyst-marketing-pepsico-talent500-tech-india-private-limited-hyderabad-secunderabad-chennai-bangalore-bengaluru-7-to-12-years-211022004662
Data & Report Analyst,Rarr Technologies,Not disclosed,5-10 Yrs,,https://www.naukri.com/job-listings-data-report-analyst-rarr-technologies-kochi-cochin-mumbai-pune-chennai-coimbatore-bangalore-bengaluru-5-to-10-years-201022502945
Hiring Data Analyst For Bangalore/Chennai Location,The It Mind Services,"5,50,000 - 11,00,000 PA.",7-12 Yrs,4.6,https://www.naukri.com/job-listings-hiring-data-analyst-for-bangalore-chennai-location-the-it-mind-services-chennai-bangalore-bengaluru-7-to-12-years-191022013466
Data Analyst,In22 Labs,Not disclosed,1-4 Yrs,4.9,https://www.naukri.com/job-listings-data-analyst-in22-labs-chennai-1-to-4-years-181122011851
Data Analyst / Modeler,Rarr Technologies,Not disclosed,6-8 Yrs,,https://www.naukri.com/job-listings-data-analyst-modeler-rarr-technologies-mumbai-pune-chennai-bangalore-bengaluru-6-to-8-years-060722502120
