Job Position Name,Company Name,Pay,Experience,Rating,URL
Senior Data Analyst | Pepsico,Talent500,Not disclosed,6-11 Yrs,3.1,https://www.naukri.com/job-listings-senior-data-analyst-pepsico-talent500-tech-india-private-limited-hyderabad-secunderabad-chennai-bangalore-bengaluru-6-to-11-years-211022005009
Sr Data Transformation Analyst I,IHS Markit,Not disclosed,3-7 Yrs,4.1,https://www.naukri.com/job-listings-sr-data-transformation-analyst-i-ihs-markit-hyderabad-secunderabad-3-to-7-years-131022502018
Data Scientist - Looking For Immediate Joiners,Wipro,Not disclosed,5-10 Yrs,3.9,https://www.naukri.com/job-listings-data-scientist-looking-for-immediate-joiners-wipro-limited-hyderabad-secunderabad-bangalore-bengaluru-5-to-10-years-011122013529
Business Analyst (Data Warehousing) - Senior Associate,SmartAdvisor Match,Not disclosed,3-6 Yrs,,https://www.naukri.com/job-listings-business-analyst-data-warehousing-senior-associate-statestreet-global-advisor-pvt-ltd-hyderabad-secunderabad-3-to-6-years-130922501023
Data Engineering Analyst,Telstra,Not disclosed,3-7 Yrs,4.1,https://www.naukri.com/job-listings-data-engineering-analyst-telstra-india-pvt-ltd-hyderabad-secunderabad-3-to-7-years-281022502383
Lead Data Management Analyst,Wells Fargo,Not disclosed,10-12 Yrs,4.2,https://www.naukri.com/job-listings-lead-data-management-analyst-wells-fargo-india-solutions-pvt-ltd-hyderabad-secunderabad-10-to-12-years-261022500593
Data Management Analyst,Wells Fargo,Not disclosed,3-6 Yrs,4.2,https://www.naukri.com/job-listings-data-management-analyst-wells-fargo-india-solutions-pvt-ltd-hyderabad-secunderabad-3-to-6-years-261022500583
Data Analyst,Tech Mahindra,Not disclosed,5-10 Yrs,3.7,https://www.naukri.com/job-listings-data-analyst-tech-mahindra-ltd-hyderabad-secunderabad-5-to-10-years-261022012750
Data Analyst - Python/Artificial Intelligence,iMindYourBusiness,Not disclosed,0-2 Yrs,,https://www.naukri.com/job-listings-data-analyst-python-artificial-intelligence-imindyourbusiness-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-ahmedabad-delhi-ncr-bangalore-bengaluru-0-to-2-years-221022900680
Data Analyst,Shell Info Technologies Private Limited,"10,00,000 - 20,00,000 PA.",8-11 Yrs,,https://www.naukri.com/job-listings-data-analyst-shell-info-technologies-private-limited-noida-hyderabad-secunderabad-chennai-bangalore-bengaluru-8-to-11-years-201022013295
Financial Data Analyst - Wealth Tech,Mithra HR Consulting,Not disclosed,2-5 Yrs,,https://www.naukri.com/job-listings-financial-data-analyst-wealth-tech-mithra-hr-consulting-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-ahmedabad-delhi-ncr-bangalore-bengaluru-2-to-5-years-171122914769
Data Analyst (Power BI & Advance Excel),Harsco Global Service Centre,Not disclosed,7-10 Yrs,,https://www.naukri.com/job-listings-data-analyst-power-bi-advance-excel-harsco-global-service-centre-hyderabad-secunderabad-7-to-10-years-141022503211
Data Analyst - Neilsen / IRI | Pepsico,Talent500,Not disclosed,5-10 Yrs,3.1,https://www.naukri.com/job-listings-data-analyst-neilsen-iri-pepsico-talent500-tech-india-private-limited-hyderabad-secunderabad-chennai-bangalore-bengaluru-5-to-10-years-021122010402
SAP Master Data Analyst,Dr Reddys,Not disclosed,2-5 Yrs,4.2,https://www.naukri.com/job-listings-sap-master-data-analyst-dr-reddys-laboratories-ltd-hyderabad-secunderabad-2-to-5-years-240822500343
Data Analysis Manager - Nielsen | Pepsico,Talent500,Not disclosed,7-12 Yrs,3.1,https://www.naukri.com/job-listings-data-analysis-manager-nielsen-pepsico-talent500-tech-india-private-limited-hyderabad-secunderabad-chennai-bangalore-bengaluru-7-to-12-years-221022007343
Data Analyst - Nielsen / IRI | Pepsico,Talent500,Not disclosed,4-9 Yrs,3.1,https://www.naukri.com/job-listings-data-analyst-nielsen-iri-pepsico-talent500-tech-india-private-limited-hyderabad-secunderabad-chennai-bangalore-bengaluru-4-to-9-years-221022007307
Data Analyst - Power Bi | Pepsico,Talent500,Not disclosed,5-10 Yrs,3.1,https://www.naukri.com/job-listings-data-analyst-power-bi-pepsico-talent500-tech-india-private-limited-hyderabad-secunderabad-chennai-bangalore-bengaluru-5-to-10-years-221022006859
Data Analyst - Power Bi | Pepsico,Talent500,Not disclosed,4-9 Yrs,3.1,https://www.naukri.com/job-listings-data-analyst-power-bi-pepsico-talent500-tech-india-private-limited-hyderabad-secunderabad-chennai-bangalore-bengaluru-4-to-9-years-221022006763
HR Data Analyst | Pepsico,Talent500,Not disclosed,3-6 Yrs,3.1,https://www.naukri.com/job-listings-hr-data-analyst-pepsico-talent500-tech-india-private-limited-hyderabad-secunderabad-chennai-bangalore-bengaluru-3-to-6-years-211022006047
Lead Data Analyst - CPG Reporting | Pepsico,Talent500,Not disclosed,7-12 Yrs,3.1,https://www.naukri.com/job-listings-lead-data-analyst-cpg-reporting-pepsico-talent500-tech-india-private-limited-hyderabad-secunderabad-chennai-bangalore-bengaluru-7-to-12-years-211022005096
Data Analyst - Power Bi | Pepsico,Talent500,Not disclosed,5-10 Yrs,3.1,https://www.naukri.com/job-listings-data-analyst-power-bi-pepsico-talent500-tech-india-private-limited-hyderabad-secunderabad-chennai-bangalore-bengaluru-5-to-10-years-211022004823
Data Analyst - Marketing | Pepsico,Talent500,Not disclosed,7-12 Yrs,3.1,https://www.naukri.com/job-listings-data-analyst-marketing-pepsico-talent500-tech-india-private-limited-hyderabad-secunderabad-chennai-bangalore-bengaluru-7-to-12-years-211022004662
DATA ANALYST,Coforge,Not disclosed,6-8 Yrs,3.8,https://www.naukri.com/job-listings-data-analyst-coforge-hyderabad-secunderabad-6-to-8-years-181122501173
HR Data Analyst,Hitachi Ltd.,Not disclosed,3-6 Yrs,4.0,https://www.naukri.com/job-listings-hr-data-analyst-hitachi-ltd-hyderabad-secunderabad-3-to-6-years-101022501495
Big Data Analysis Tool and Techniques Application Developer,Accenture,Not disclosed,4-6 Yrs,4.1,https://www.naukri.com/job-listings-big-data-analysis-tool-and-techniques-application-developer-accenture-solutions-pvt-ltd-hyderabad-secunderabad-4-to-6-years-011122914270
Data Management Analyst,Wells Fargo,Not disclosed,3-6 Yrs,4.2,https://www.naukri.com/job-listings-data-management-analyst-wells-fargo-india-solutions-pvt-ltd-hyderabad-secunderabad-3-to-6-years-270622502631
Linux SysOps Admin data analysis,"Qualcomm Technologies, Inc",Not disclosed,6-8 Yrs,4.2,https://www.naukri.com/job-listings-linux-sysops-admin-data-analysis-qualcomm-technologies-inc-hyderabad-secunderabad-6-to-8-years-260822500476
Data Analyst ( On Contract ),EA Games (Electronic Arts),Not disclosed,2-3 Yrs,4.5,https://www.naukri.com/job-listings-data-analyst-on-contract-electronic-arts-hyderabad-secunderabad-2-to-3-years-210920500361
"Data Analyst, Sr II",Synopsys (india),Not disclosed,8-10 Yrs,4.2,https://www.naukri.com/job-listings-data-analyst-sr-ii-synopsys-india-private-limited-hyderabad-secunderabad-8-to-10-years-111022500323
Senior Data Analyst,DUN &amp; BRADSTREET INFORMATION SERVICES INDIA PRIVATE LIMITED,Not disclosed,2-4 Yrs,3.9,https://www.naukri.com/job-listings-senior-data-analyst-dun-amp-bradstreet-information-services-india-private-limited-hyderabad-secunderabad-2-to-4-years-241120500683
Data Scientist,XPO India Shared Services,Not disclosed,4-9 Yrs,1.7,https://www.naukri.com/job-listings-data-scientist-xpo-india-shared-services-llp-hyderabad-secunderabad-4-to-9-years-041122013482
Data Science Lead,Xoriant,Not disclosed,7-12 Yrs,4.3,https://www.naukri.com/job-listings-data-science-lead-xoriant-solutions-pvt-ltd-kochi-cochin-hyderabad-secunderabad-pune-ahmedabad-gurgaon-gurugram-chennai-bangalore-bengaluru-mumbai-all-areas-7-to-12-years-180822003149
Data Management Analyst,RANDSTAD INDIA PVT LTD,"2,00,000 - 7,00,000 PA.",2-7 Yrs,,https://www.naukri.com/job-listings-data-management-analyst-randstad-india-pvt-ltd-hyderabad-secunderabad-bangalore-bengaluru-2-to-7-years-271022006808
Clinical Data Analyst - SQL/Healthcare EcoSystem,Huquo Consulting Pvt. Ltd,Not disclosed,8-13 Yrs,,https://www.naukri.com/job-listings-clinical-data-analyst-sql-healthcare-ecosystem-huquo-consulting-pvt-ltd-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-8-to-13-years-181122909847
Data Analyst,L A Consultancy,Not disclosed,2-6 Yrs,,https://www.naukri.com/job-listings-data-analyst-l-a-consultancy-kochi-cochin-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-delhi-ncr-2-to-6-years-171122914709
ILM Data Management Analyst,Epiq Global,Not disclosed,3-8 Yrs,4.0,https://www.naukri.com/job-listings-ilm-data-management-analyst-epiq-global-hyderabad-secunderabad-3-to-8-years-061022501981
Web Data Analyst,Quadrant Resource,"1,75,000 - 3,00,000 PA.",0-1 Yrs,3.1,https://www.naukri.com/job-listings-web-data-analyst-quadrant-resources-pvt-ltd-hyderabad-secunderabad-0-to-1-years-271022004261
Data Engineer and Analyst,Cyient,Not disclosed,2-3 Yrs,3.7,https://www.naukri.com/job-listings-data-engineer-and-analyst-cyient-limited-hyderabad-secunderabad-2-to-3-years-240421500403
Data Analyst,Recruitrix Technologies Llp,Not disclosed,0-2 Yrs,,https://www.naukri.com/job-listings-data-analyst-recruitrix-technologies-llp-hyderabad-secunderabad-0-to-2-years-091122500313
